,feelings,emotion,class_label
95,im starting feel wryly amused banal comedy errors life turning,joy,5
96,find every body beautiful want people feel vital bodies,joy,5
97,hear owners feel victimized associations associations attorneys property manager,sadness,0
98,say goodbye fam theyre sad crying feel like heartless bitch hey im pretty excited flying first time know also spend year another country,anger,1
99,wont let child cry feel loving lily little going opportunities lasted short months,love,4
100,alba feel good im fitting,joy,5
101,feel excited im feel like ton catching,joy,5
102,also know good feels look back see honored word helps start,joy,5
103,mean really really hard works obtain high technical skill wushu feel kinda ashamed somehow motivated saw kids wushu performances whole heartedly despite tiredness,sadness,0
104,feel like things getting little overwhelming spritz toner really helps calm soothe,joy,5
105,hope realize little effort required make person feel better situation whether family member college high school friend neighbor street even complete stranger,joy,5
106,feeling festive today even going put tree soon finished catching week goings ons coronation street,joy,5
107,finding ill seriously,joy,5
108,alright class combination feeling unsuccessful man handled stress late horrible week resulted almost crying finished grappling,sadness,0
109,feel rarely advances worthwhile cause always stick rule posting anything online wouldnt prepared say somebodys face,joy,5
110,feeling useful,joy,5
111,feel like pains imagine becoming passionate group idea causing pain,love,4
112,feel ugly inclined wear ratty jeans sweatshirt beautiful dress though might still wear pair heels around house boost self esteem ever slightly definitely bother buy new pair,sadness,0
113,im feeling homesick yet im feeling alright,sadness,0
114,dance feel pretty,joy,5
115,workout every morning feel fabulous,joy,5
116,feel eyes touch words eyes know assuredly return love know shall vain,sadness,0
117,feeling fabulous friday morning started get awful cramps work,joy,5
118,feel honoured able call friends share brotherhood,joy,5
119,begun feel apprehensive thick black rain clouds stormed sky town,fear,2
120,stated reason feel fearful feel unsafe,fear,2
121,feel like getting shaken tsa quite yet pulled side creative croissants lunch,fear,2
122,get groups feel really awkward overcompensate talkative getting really quiet,sadness,0
123,excited finally meet companion companion times especially lonely lonely companion never disappoint companion put arms around make feel loved,love,4
124,feel pretty safe blog img src http,joy,5
125,feel pretty eager get done fun plan quilting,joy,5
126,feeling horny ask lets go home,love,4
127,think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,fear,2
128,feel stranger strange land raising son place father ancestral home,surprise,3
129,left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,joy,5
130,feel energetic bouncy happy go gym run around outside kids take pram long walk often three one day,joy,5
131,still feeling strong,joy,5
132,burst tears devastating release feelings thoughts seemed know rich also go space without dumping,joy,5
133,wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,anger,1
134,suppose feels badly bit skeptical pain last months shes hyperchondria exaggeration habit past though never openly questioned,fear,2
135,clench corners bed feel assured,joy,5
136,also feel like selfish grateful life amazing things,anger,1
137,called god seen god book figured god right name feeling utterly affirmed accepted without question,love,4
138,know perhaps girls office nice short hair perhaps feeling rebellious,anger,1
139,feel miserable family type celebrates eid,sadness,0
140,might go get car wash feeling really generous car needs,joy,5
141,still feel sleep deprived almost sleeping night giving us,sadness,0
142,feel really violent right,anger,1
143,bloging sitting feeling content dogs amp cat etc know lucky truth,joy,5
144,started feeling funny friday woke sick dog,surprise,3
145,feel need protect parents witch hunt repressed memory therapy,sadness,0
146,feel disgusted even associated woman race nationality,anger,1
147,laughed bitterly wasnt feeling bitter,anger,1
148,know feeling thought wished could us us knew however much hated first experience would remember forever,sadness,0
149,feeling quite mellow wanted soft easy look wear beginning cold,joy,5
150,told maybe need time think ive feeling indecisive things lately,fear,2
151,still feel genre disservice stories resolved artifically,joy,5
152,always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,joy,5
153,remember feeling really terrified brazil bus going steep mountain hills side mountain middle big storm wondering going fall,fear,2
154,could feel whimper thought unloved uncared,sadness,0
155,im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,surprise,3
156,im sorry wasnt humor post im feeling funny,surprise,3
157,feel ive got foot door fantastic world walking running trails fells mountains,joy,5
158,say whatever comes mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,anger,1
159,feel strange coming back work one day holiday,fear,2
160,im clearly influenced dash happiness emily dickinson example use dashes instead colons semi colons enhance feelings rushed enjambment sonnet,anger,1
161,fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girls,sadness,0
162,could claim redeem genre leave feeling entirely frustrated point beating head wall either,anger,1
163,feel sad hopeless,sadness,0
164,im getting feeling classes little intimidated concept lit,fear,2
165,still feel groggy get routine son,sadness,0
166,feeling view isnt going popular thats fine,joy,5
167,want hold feeling shocked awe wonder forever,surprise,3
168,heard rumour st year exam results fear might one failures,fear,2
169,want feel valued appreciated know people love arent going anywhere even nature relationship changes,joy,5
170,know days feel distracted,anger,1
171,use regularly relaxing music always feel invigorated afterward,joy,5
172,im feeling distracted tend practice eyes shut much possible,anger,1
173,feel like perfect w see youtube influences even know trends,joy,5
174,specifically wanted tango feeling shy maks quite opposite hard get far enough away get good pics lol,fear,2
175,also feel weird sleeping bed two slept,fear,2
176,wish okay thinking earlier today heres thing cooped amp restless made feel needy,sadness,0
177,ive lost weight could fit tiny skirt ive unable wear didnt feel confident,joy,5
178,hope feel bit creative soon miss presence life blog,joy,5
179,fan current president conservative made feel unwelcome,sadness,0
180,enclose verses could weigh much thinking feeling curious hear odd couple,surprise,3
181,begin feel complacent life,joy,5
182,feel vulnerable alone,fear,2
183,remember feeling inspired thinking fine example parenting,joy,5
184,feel like always one getting punished stupid things feel like chastised behaving,sadness,0
185,really feel life perfect right isnt much ask hope everything would stay,joy,5
186,im simply feel contented,joy,5
187,im saying cut everyone life feel important find comfort solitude meditation working projects alone,joy,5
188,think im stupid feeling nervous,fear,2
189,feel honored,joy,5
190,feeling act god work life amazing feeling,surprise,3
191,feel im like bird flying air carefree manner,joy,5
192,revise replies mind make sure reply sounds appropriate enough person receive reply feel offended,anger,1
193,felt sad friend mine died felt something irrevocably gone away,sadness,0
194,died would alex matt feel regretful coming visit,sadness,0
195,feel educating families supporting educationg mamas papas key,joy,5
196,im sure lost feel like everyone hostile toward hate feeling,anger,1
197,feel like boring sewing makes since easy nothing else say fabric usage,sadness,0
198,always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,joy,5
199,feel like talented young man feel talented work,joy,5
200,feel curious things around,surprise,3
201,feel reason apart others lives im help become something push succeed successful happy,joy,5
202,feel uncomfortable guess,fear,2
203,feel pretty mellow far whatever healing wounding process may getting underway,joy,5
204,wonder sometimes whether added antagonism misunderstanding many people towards us feel reluctant wholeheartedly support traditional armistice day remembrances,fear,2
205,legs would feel shitty miles would come around like always,sadness,0
206,know unfair reaction run ways explain feel shaken best come right,fear,2
207,seriously feel blessed support home amazing,love,4
208,feel abused maligned mostly tired nervous feeling anticipating danger,sadness,0
209,feeling pretty restless right typing,fear,2
210,know gosman touristy place go montauk area infrequent visitors area want head harbor feel gentle cawing seagulls lapping water wood pilings relaxing breeze coming water,love,4
211,admit hilarious e cards seriously exactly feel stressed feel moment could start hy,sadness,0
212,wrote last year feeling dull inarticulate normal,sadness,0
213,id kick gear feel irritable motivation ever,anger,1
214,feel child innocent feelings illustrating,joy,5
215,satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger,love,4
216,start feel resentful,anger,1
217,spend vacation obligations headaches feeling like emotional blackmailed three places,sadness,0
218,feel herpes coming would surprised point make checkup clinic wednesday,surprise,3
219,feel fucked like everyday life,anger,1
220,ive worked really hard year try make child class feel like valued,joy,5
221,feeling disheartened words late,sadness,0
222,feel like bitchy time upon retrospect think trying shake,anger,1
223,still second guess still terrible time making definitive decisions certain truths know feel assured truths,joy,5
224,feel like eggs benedict something equally delicious,joy,5
225,im feeling way trusting,joy,5
226,im feeling inspired summery elements favorite past time beach bummin,joy,5
227,feel smiled love even gorgeous,joy,5
228,continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam,sadness,0
229,make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely,joy,5
230,say feel sympathetic,love,4
231,feeling eager hopped tube ride eye london,joy,5
232,go online see friend talking another one talking feel ignored feel unloved,sadness,0
233,monitoring say anything ever come across blogs feel offended please dont stop,anger,1
234,feel like weird cancer one time,surprise,3
235,want feel safe well maybe maybe theres small chance feel joy dreams come true,joy,5
236,im feeling cranky,anger,1
237,also think puzzling particular administrator singled praise ability get students read feels ssr time productive use class time,joy,5
238,tried fill befriending people knew using didnt care needed feel accepted even complete loser,love,4
239,feel stressed always,sadness,0
240,remember feeling another cramp also ignored,sadness,0
241,hope feel mellow well fed well slept peace within external world,joy,5
242,also learned takes lot effort positive thinking break tears feeling exhausted guilty better mom,sadness,0
243,im feeling awful hung friend new baby day,sadness,0
244,feel relaxed fine,joy,5
245,feel suffering really feel pain,sadness,0
246,go sleep feel giving precious time something else life,joy,5
247,feel like neglecting beloved mom blog,joy,5
248,shalt say cos din feel thing wrote hw keen xxx,joy,5
249,feel terrified like im edge precipice staring ahead,fear,2
250,feel totally listless exams come gone whole five months front uni free time,sadness,0
251,feel furious right life advocates tell live die lobbying supporting politicians sympathic views,anger,1
252,feel abused way,sadness,0
253,im still paying attention feel distracted,anger,1
254,started third block feeling hot cold tingly time knowing still five hours examination ahead idea would good,love,4
255,im hesitant make suggestions feel outcome would sincere,joy,5
256,feel terribly fond majority precise time,love,4
257,feel gaining control damaged goods aspects personal security,sadness,0
258,bombed first interview left second interview feeling pretty fan freaking tastic,joy,5
259,think kind taken us long build good inventory sauces oils spices non perishables feel like chance making something delicious without specifically go buy every single item recipe,joy,5
260,feel advise dads whose children soon become teenagers cool pull kid high school pick smelly jalopy plants coming windows,joy,5
261,feel victimized drag country heads sand traditionalists hesitate call conservatives fear offending real honest god conservatives still think world created years ago stuff like skeletal remains kind hoax,sadness,0
262,would feel lucky call materials kits site mine beautifully curated,joy,5
263,bloods proved reason feeling lethargic rubbish low iron prescribed iron tablets,sadness,0
264,mind feel like mind dangerous life,anger,1
265,feel like love everyone least compassionate toward others,love,4
266,feel punished neglecting,sadness,0
267,feel like doesnt capture beauty lovely polish,love,4
268,feel like lost main roots feel less secure emotionally financially socially,sadness,0
269,feel like bite bullet every time think feel stressed im fully supported decisions,sadness,0
270,know obnoxiously immature sounding verbal tics voice kind nasal always come across like sharpest tool shed especially feeling awkward knowing knowing know,sadness,0
271,id terrible nightmare feeling little disturbed,sadness,0
272,didnt want walk passed case customers feel disturbed,sadness,0
273,want sufferers able find hope battle help feel alone,sadness,0
274,feeling exceptionally reluctant go school tomorrow even though monday timetable pretty good,fear,2
275,festive feels delicious wheeeeee great night,joy,5
276,looking forward beaten feeling like disappointment husband emotional pain,sadness,0
277,im sick feeling crappy,sadness,0
278,feel like almost convinced going pattern,joy,5
279,also wear im wearing dress makes feel slutty feels like antique underwears obviously little bit edgy maybe little bit little bit,love,4
280,feel perverse pride self control managed stay ordered reach tempting human flesh close us,sadness,0
281,feel impatient easily annoyed outraged blatant defiance seems olivias prominent characteristic days,anger,1
282,positively giddy kids left morning last official class year im feeling little sad,sadness,0
283,feel supportive also cant help feel jealous,love,4
284,mainly like text feel like much clever written word rather spoken,joy,5
285,seriouly feel respected dont privacy ordered around,joy,5
286,said words devotee feel relieved hear title deen bandhu fallen person become afraid title uplifter devotees consider true devotee hence unworthy benefit aspect personality,joy,5
287,personalities feel pain suffering,sadness,0
288,guess would feel like joseph walt trusting care mother finances six months died times want defend self god makes quiet,joy,5
289,warming starting feeling little lethargic,sadness,0
290,feel excelent sometimes theres nothing especially since im really keen video games anymore watch bit anime movies theres got life,joy,5
291,wonder master feeling r wanting eager please master could much enjoy attentions wrong desire return affections,joy,5
292,im feeling little bit positive things quite hard first savings eaten quickly costs didnt want become burden boyfriend weve come end im feeling brighter inspired things come,joy,5
293,im feeling rather sentimental right say feel lucky maxs mom,sadness,0
294,make show feel isolated crowd ill know wrong anti social feeling,sadness,0
295,ive learned turn emotions often find feeling completely blank mother crying continuously suicidalness,sadness,0
296,feel loyal style,love,4
297,understand may feel youd rather bit vulnerable homeless london precise way,fear,2
298,finally stop feeling listless like waste space,sadness,0
299,know im feeling agitated side effect high dose,fear,2
300,feel shift positive,joy,5
301,feeling brave enough,joy,5
302,fear thief,fear,2
303,feel clever nov,joy,5
304,always spend money mean feel dissatisfied exit store,anger,1
305,im feeling really quite angry,anger,1
306,feel kerry didnt supporting civil unions gay equality,love,4
307,feel really ashamed,sadness,0
308,feel amazing people life,surprise,3
309,finally left feeling judged ridiculed intelligent,joy,5
310,starting feel bit insulted stranger,anger,1
311,many days feel hopeless today light end yellow brick road shining little brighter,sadness,0
312,actually feel sorrowful,sadness,0
313,see women wearing boots feel envious want curse,anger,1
314,feel feel tell together apologize make keep loving bits bits,love,4
315,go say feeling impressed youre naomi klein right,surprise,3
316,began feel senses dull cold black unconsciousness came,sadness,0
317,suspect feel less fond private,love,4
318,honoured young woman felt comfortable enough ask kind faux hawk thing going back must looked dykey enough feel safe talking,joy,5
319,wonder cast caveman told perfect part feel insulted complimented,anger,1
320,feel convinced plus many diverse price tags feel sure everyone come funds plot lighted relatively economically,joy,5
321,feel empty baby isnt,sadness,0
322,stopped feeling exhausted href http provokingbeauty,sadness,0
323,im feeling font friendly,joy,5
324,hand beads consciously breathing consciously working feel calm list things accomplish afternoon,joy,5
325,always feel intimidated people especially always compare people ever since young,fear,2
326,made feel rotten,sadness,0
327,started feeling hostile checking hemorrhoids,anger,1
328,love wearing new shoes feel glamourous get pair designer shoes love box trimmings come,joy,5
329,know largely fact feelings romantic sexual successfully hidden,love,4
330,love feeling something warmly hugging feeling precious small precious someone something,joy,5
331,im feeling far mellow normal,joy,5
332,became dismayed studied people wearing started feeling like though outfits gorgeous bought way,joy,5
333,dont want wax draw anything need unibrow maybe get rid spare hairs creeping toward eyelid im feeling brave,joy,5
334,im feeling lucky width li style border px list style outside margin px px,joy,5
335,recall high school feelings longing watched olympic runners feel st,love,4
336,woke feeling confident watched bodypump dvd gather coaching tips compulsory cues,joy,5
337,didnt say strong feelings always make skeptical first,fear,2
338,want talk limited time phone current arrangment feel hesitant bring,fear,2
339,beginning feel theres good chance might pass,joy,5
340,feel like little control help sweet pea better know ahead,joy,5
341,feel like receiving end violent attack,anger,1
342,feel worthwhile document people familiar batch files,joy,5
343,feeling especially thankful many small blessings life right,joy,5
344,hoping weatherman right forecast stay home dont venture rain tomorrow feeling kind creative,joy,5
345,feel like im edge microcosm one awkward moment missed party id outside,sadness,0
346,feel bit funny actually,surprise,3
347,learnt nothing else last two years best feel way trusting instincts,joy,5
348,feeling also blossoming eager anxiety,joy,5
349,feel burdened share,sadness,0
350,always want nemo side sleeping without feels weird even though doesnt happen often get,surprise,3
351,im feeling outfit heels gorgeous,joy,5
352,feel confused,fear,2
353,feel session useful gave tools need move forward life,joy,5
354,feel selfish bringing loneliness child know parents newtown grieving lost babies,anger,1
355,took away disappointed feeling paining gave heart heal lord one love never betrayed never lose loyalty even loyal,love,4
356,feel envious embarrassed,anger,1
357,could feel frantic need need make,fear,2
358,feeling overwhelmed responsibilities teacher someone trusting precious gift honor,surprise,3
359,feel tranquil right great,joy,5
360,feel frustrated new music new lyrics clearly nothing,anger,1
361,thought going talk try work things shocked find steve decided wanted thing broke feeling unloved,sadness,0
362,wouldnt beared witness incredibly well spoken bouncer making emo kid feel completely unwelcome,sadness,0
363,tend stop breathing feeling stressed,sadness,0
364,smoker years quit weeks ago right finished book cant believe free feel knew quit terrified life without cigarettes,fear,2
365,go mailbox talk mailman grocery clerk etc matter small step limited risk complete total willingness experience whatever thoughts feelings sensations emerge important,joy,5
366,already feeling frantic,fear,2
367,feel like insecurity good thing first started writing pictured,joy,5
368,feel complimented insulted,anger,1
369,crave fall submission feel submissive least,sadness,0
370,feel tender fine,love,4
371,feel irritated pissed even like someone wakes moment edge falling deep slumber,anger,1
372,made work feeling little groggy,sadness,0
373,want love feel like sort hindrance thats keeping loving,love,4
374,feel fond ok second thought really sensitive spelled everything,love,4
375,ill get round quarter im feeling hopeful one,joy,5
376,im starting feel unwelcome life people already tell,sadness,0
377,feel absolutely fantastic hope baby,joy,5
378,watched snow fall accumulate conifer trees shoveling shirt sleeves feeling vigorous,joy,5
379,feel bitter honkerblonked general,anger,1
380,feeling father already convinced,joy,5
381,love feel passionate living dream gotten taste feels like nothing stop,love,4
382,play rain squeal glee feeling mud squishing toes enjoy pretty much anything takes place outdoors,joy,5
383,feeling humorous put cold callers hold,joy,5
384,busy stuffs never blogs threads make feel miserable,sadness,0
385,feel energized curious life god potential give something back society finding someone heart,surprise,3
386,feel privileged also lot work,joy,5
387,im pretty happy little nauseated side feel thrilled,joy,5
388,close eyes hear pitiful wailing sounds cries taste salty taste tears feel anger hurt saturating heart,sadness,0
389,bought virtually fat free thousand islands feeling impressed hold large quantities substance leaves lettuce cucumber friend total sugar becomes burn fat,surprise,3
390,im sure folks virginia florida handful swing states agree feel put upon insulted constant barrage,anger,1
391,feel like im putting innocent man death row,joy,5
392,sure else help feel smart,joy,5
393,begin feel every waking moment devoted work,love,4
394,feel thankful lessons learning,joy,5
395,feel longing sadness see families children,love,4
396,feel distinctly called clermont focus little ones seem naughty,love,4
397,hope feel glad gave many things including memories cherish,joy,5
398,feeling pretty worthless right,sadness,0
399,feel projects clever useful enough figured would start sharing instructables wrote first one weekend,joy,5
400,continued think along lines probably would done dishes anger got wed fight feeling completely abused,sadness,0
401,didnt feel especially nervous finland landed paris little unsure would ahead us thought st grade student janne suominen,fear,2
402,feel envious kids certain moments,anger,1
403,feeling like pretty crappy mom,sadness,0
404,im feeling pissed aac feeling kind miserable frustrated life whole week,anger,1
405,im scared anymore im fine feel terrific surgery,joy,5
406,still feel vulnerable around,fear,2
407,honestly sure feel stunned,surprise,3
408,feel caring person attract caring people life,love,4
409,im left feeling quite embarrassed say nothings new,sadness,0
410,feel unwelcome place buti cant decide scared anything ok situation staying dead end situation afraid things get worse,sadness,0
411,may may cried thanking making children feel special loved,joy,5
412,really want go buy yardage art gallery play feels amazing,surprise,3
413,feel like shes losing sense self adapt thinks loyal,love,4
414,feel burdened several loved ones miss big kid havent seen since friday,sadness,0
415,feel still really low abdomen,sadness,0
416,feel like welcomed tight knit family make sure feel alone ever,joy,5
417,feel doubtful,fear,2
418,usually use smaller legos however year students fine motor delays want students feel successful,joy,5
419,get exercise feel like im something worthwhile meantime,joy,5
420,feel like life rich fulfilling know people look way live feel misplaced pity,joy,5
421,feel blessed amazed yes excited,love,4
422,feel hesitant talking,fear,2
423,try get least minutes day five days week though known skip workout feeling particularly lethargic lazy,sadness,0
424,feeling beaten sick utterly devoid hope ever life want,sadness,0
425,feel hesitant comment want add pileon seems clear involved learned past experiences interested applying learning future projects,fear,2
426,feel quite passionate communion tremendous importance personally theologically,love,4
427,im feeling happy well,joy,5
428,find much time think without feeling depressed actually able write imagine without feeling trapped like missing something near constant feeling cities,sadness,0
429,got feeling brig sincere strong desire help others become successful financially also building strengthening relationships christianity,joy,5
430,feel like ive fake feelings lot often would liked,sadness,0
431,feeling energetic decided going bike rest temples,joy,5
432,im really like said understand way feel toni ight blamed excesses merican dream seldom witnessed never er seen hah hah hah hah hah,sadness,0
433,happpy get good results field academics athletics,joy,5
434,dont know want work always something makes feel stressed anxious work whatever job may jobs require sort rules pressure,sadness,0
435,id pop chair feeling like something worthwhile,joy,5
436,really hoping theyd get far enough ahead us could feel like navigating delighted punching second control headed onto trail woods,joy,5
437,feel like normally would angry thats actually think could never beautiful size,anger,1
438,wonder many people feel like perspective think sake without wanting turn result crappy work,sadness,0
439,feel indecisive whether feel book huckleberry finn censored,fear,2
440,known likes kamiki kun laughs nozomi feels unpleasant knot stomach must think fool nonchan,sadness,0
441,made choice start recognizing feeling unloved kicks choose keep persistence level allowing old reaction shut,sadness,0
442,feel like im hated celebrated cant wait till day say made,anger,1
443,still feel funny writing like maybe call spirit guide really observant cheerleader something,surprise,3
444,would rather feel nothing feel surprised find life depressing grey unrewarding,surprise,3
445,feel comfortable decision,joy,5
446,get really sweaty episodes stomach feel really funny like free falling,surprise,3
447,feeling overwhelmed lately,fear,2
448,learnt much wonderful world beaubronz feel lovely tanning brand fits perfectly latest mantra stolen boudoir lashes mother asma docrat,love,4
449,feel rebellious particularly like watching romcoms get feeling may pretty good writing,anger,1
450,didnt feel welcomed first entered morris quickly changed left feeling happy,joy,5
451,im contemplating feeling skeptical,fear,2
452,ive become anxious recent times certainly feeling amongst people belief siege often disadvantaged looked considered way different faith makes less worthy regard said,sadness,0
453,feel like care im bit heartless,anger,1
454,hate chemo thought toxins washing every single cell making feel horrible makes cringe,sadness,0
455,feel honoured hosted series talented,joy,5
456,love feel threatened around little,fear,2
457,feel reading allthingsbucks blog brought tears eyes lump throat feeling worthwhile thing upset shouldnt write lame blog,joy,5
458,feeling determined didnt take long start nomming naughty stuff,joy,5
459,feel honored many wonderful artists display work public see,joy,5
460,remember fully stressed fun feel could lively,joy,5
461,feel dazed href http twitter,surprise,3
462,feel bitchy hurting,anger,1
463,always feel like ive assaulted pics,sadness,0
464,im thankful everything seems working wrap week new job also feeling pretty lucky people lives,joy,5
465,feel incredibly isolated lonely,sadness,0
466,feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible,anger,1
467,blood test yesterday perhaps im feeling particularly fond right doctors needle inside time spent dizzy head non meat eating nineteen year old female,love,4
468,admit worried feeling isolated work cubicle pretty much unless someone needs,sadness,0
469,im feeling like life fairly sweet,love,4
470,going clean slate unilaterally forgiving feel wronged someone love intentionally carelessness thereby time forget perceived insults abuses,anger,1
471,feel like year teach get passionate job find love kids want try even harder,love,4
472,im one people bury feelings anger second giving sweet smile even pain anger,love,4
473,knew holy spirit work plus feels divine gooooood way like massage reassuring,joy,5
474,feel though ive reached point career im highly respected,joy,5
475,make light sometimes feel really awkward small groups one one conversations,sadness,0
476,ive lot good days feel fabulous lots energy lately ive also bad days feel gigantic slow clumsy,joy,5
477,also feel like google hated seo know,sadness,0
478,didnt get wink sleep night continued feeling fabulous next morning,joy,5
479,feel like feel mistake time fucked sleep take,anger,1
480,love sliding nice big throbbing cock feeling gorgeous body man,joy,5
481,found novel position feeling bit uncertain stock market rally,fear,2
482,feel like judging want seem like needy girl know,sadness,0
483,im definitely feeling festive,joy,5
484,feel burdened presence,sadness,0
485,still feel little dazed sort disbelieving feeling oh god,surprise,3
486,feeling super excited weeks seem flying getting closer closer due date,joy,5
